proposal_id,primary_cluster,primary_ratio,secondary_cluster,secondary_ratio,tertiary_cluster,tertiary_ratio
3428,1,0.3076923076923077,2,0.23076923076923078,6,0.15384615384615385
3429,0,0.36363636363636365,8,0.2727272727272727,2,0.18181818181818182
3430,18,0.55,7,0.45,-1,0.0
3431,1,0.46153846153846156,9,0.23076923076923078,11,0.15384615384615385
3432,2,0.3333333333333333,6,0.25,13,0.25
3451,13,0.4444444444444444,6,0.3333333333333333,18,0.18518518518518517
3471,4,0.875,11,0.08333333333333333,9,0.041666666666666664
348,0,0.9333333333333333,11,0.06666666666666667,-1,0.0
3489,18,0.34615384615384615,2,0.3076923076923077,13,0.15384615384615385
3490,12,0.42857142857142855,9,0.42857142857142855,1,0.07142857142857142
3491,7,0.5142857142857142,16,0.34285714285714286,9,0.08571428571428572
3492,16,0.3870967741935484,2,0.22580645161290322,13,0.1935483870967742
3493,19,0.7647058823529411,13,0.17647058823529413,11,0.058823529411764705
3494,2,0.4827586206896552,16,0.41379310344827586,13,0.06896551724137931
3495,4,0.875,8,0.08333333333333333,16,0.041666666666666664
3496,13,0.5,18,0.3333333333333333,6,0.08333333333333333
3497,18,0.48484848484848486,2,0.18181818181818182,1,0.09090909090909091
3498,5,0.45,13,0.35,6,0.1
3499,14,0.7391304347826086,11,0.21739130434782608,8,0.043478260869565216
350,18,0.5769230769230769,9,0.11538461538461539,16,0.11538461538461539
3500,4,0.3448275862068966,8,0.20689655172413793,12,0.1724137931034483
3501,18,0.4166666666666667,9,0.25,8,0.08333333333333333
3502,16,0.7391304347826086,8,0.17391304347826086,18,0.043478260869565216
3503,13,0.2777777777777778,19,0.2222222222222222,8,0.2222222222222222
3504,16,0.625,8,0.20833333333333334,13,0.08333333333333333
3505,16,0.5263157894736842,8,0.3157894736842105,13,0.10526315789473684
3506,1,0.6818181818181818,12,0.22727272727272727,11,0.045454545454545456
3507,4,0.75,12,0.125,11,0.0625
3508,16,0.7391304347826086,8,0.17391304347826086,0,0.043478260869565216
3509,16,0.3333333333333333,18,0.20833333333333334,13,0.16666666666666666
351,0,1.0,-1,0.0,-1,0.0
3510,19,0.4090909090909091,13,0.22727272727272727,12,0.18181818181818182
3517,18,0.7692307692307693,11,0.15384615384615385,13,0.07692307692307693
352,4,0.4666666666666667,9,0.2,11,0.13333333333333333
3525,18,0.5263157894736842,13,0.3684210526315789,11,0.05263157894736842
353,0,0.5294117647058824,12,0.35294117647058826,2,0.058823529411764705
354,0,0.8333333333333334,11,0.08333333333333333,10,0.08333333333333333
3544,2,0.4864864864864865,12,0.21621621621621623,13,0.13513513513513514
3545,6,0.47368421052631576,13,0.3157894736842105,16,0.15789473684210525
3546,18,0.5,13,0.4090909090909091,11,0.045454545454545456
3547,16,0.42105263157894735,13,0.3157894736842105,1,0.10526315789473684
3548,8,0.4090909090909091,13,0.36363636363636365,11,0.13636363636363635
3549,13,0.7222222222222222,6,0.16666666666666666,5,0.1111111111111111
355,4,0.5454545454545454,11,0.18181818181818182,15,0.18181818181818182
3550,13,0.5,19,0.5,-1,0.0
